tenure,MonthlyCharges,TotalCharges,Contract,InternetService,TechSupport,OnlineSecurity,PaymentMethod,SeniorCitizen,Partner,Dependents,PaperlessBilling,Churn
35,88.66,2807.15,One year,Fiber optic,No,No,Bank transfer,0,No,No,Yes,No
49,70.29,3366.82,Two year,Fiber optic,No,No,Electronic check,0,Yes,Yes,No,No
3,67.47,186.87,Two year,Fiber optic,No,No,Electronic check,0,Yes,No,No,Yes
1,84.77,79.13,Month-to-month,Fiber optic,No,No,Electronic check,0,Yes,No,Yes,Yes
5,56.73,261.76,One year,DSL,No,No,Credit card,1,No,No,No,No
53,92.42,4871.78,Two year,Fiber optic,No,No,Mailed check,0,No,No,No,No
3,36.55,100.54,Month-to-month,Fiber optic,Yes,No,Bank transfer,0,Yes,No,No,Yes
53,107.36,5537.77,Month-to-month,DSL,Yes,No,Credit card,0,No,Yes,No,No
62,48.47,2778.48,Two year,No,No,No,Mailed check,1,Yes,No,No,No
17,18.0,288.4,One year,DSL,No,No,Credit card,0,No,No,No,Yes
43,55.14,2370.09,Month-to-month,Fiber optic,Yes,No,Bank transfer,0,Yes,No,Yes,No
33,51.74,1553.85,Month-to-month,DSL,Yes,Yes,Electronic check,1,No,No,No,No
61,54.92,3310.37,One year,DSL,No,No,Mailed check,0,Yes,No,Yes,No
13,71.95,930.3,Month-to-month,DSL,No,No,Mailed check,0,No,Yes,Yes,Yes
47,97.94,4464.27,One year,Fiber optic,No,Yes,Credit card,0,Yes,Yes,Yes,Yes
14,59.25,747.38,One year,Fiber optic,No,No,Credit card,1,Yes,No,Yes,Yes
71,44.25,3085.45,One year,Fiber optic,No,Yes,Electronic check,1,No,Yes,Yes,No
61,31.2,1880.79,Month-to-month,DSL,Yes,No,Credit card,0,Yes,No,No,No
39,50.95,1983.26,One year,Fiber optic,No,No,Bank transfer,0,Yes,No,Yes,No
52,18.0,920.96,One year,Fiber optic,No,No,Bank transfer,0,No,Yes,Yes,No
23,43.25,939.6,One year,Fiber optic,No,Yes,Bank transfer,0,No,Yes,Yes,Yes
25,102.32,2478.36,Month-to-month,DSL,No,No,Bank transfer,0,Yes,No,Yes,Yes
59,40.3,2255.28,Month-to-month,DSL,Yes,Yes,Electronic check,0,Yes,Yes,Yes,No
40,83.86,3137.38,Two year,Fiber optic,No,Yes,Electronic check,0,Yes,No,Yes,No
28,28.21,760.37,Month-to-month,DSL,Yes,Yes,Electronic check,0,No,No,No,Yes
14,118.13,1615.75,Month-to-month,DSL,No,Yes,Credit card,0,Yes,No,Yes,Yes
44,120.0,5087.76,Month-to-month,DSL,No,Yes,Electronic check,1,Yes,No,Yes,Yes
64,82.73,5202.9,Two year,Fiber optic,No,No,Mailed check,0,No,No,Yes,No
70,120.0,7708.15,Month-to-month,Fiber optic,No,No,Mailed check,0,Yes,No,Yes,Yes
8,75.67,567.45,Month-to-month,Fiber optic,Yes,No,Mailed check,0,Yes,No,Yes,Yes
0,88.06,0.0,Month-to-month,DSL,No,No,Credit card,0,No,No,Yes,No
7,102.86,662.0,One year,Fiber optic,No,No,Credit card,0,Yes,Yes,Yes,Yes
62,70.39,4121.17,Month-to-month,DSL,Yes,No,Electronic check,1,No,Yes,No,No
10,18.43,183.34,Month-to-month,No,No,No,Bank transfer,0,No,No,Yes,No
7,88.67,592.01,Month-to-month,Fiber optic,No,No,Mailed check,0,Yes,No,No,Yes
34,50.84,1605.21,Two year,Fiber optic,Yes,Yes,Credit card,0,Yes,No,Yes,No
34,53.07,1687.83,Month-to-month,DSL,No,Yes,Mailed check,1,No,No,No,Yes
32,73.94,2274.53,Month-to-month,DSL,No,No,Electronic check,0,No,No,Yes,Yes
4,81.99,306.73,Month-to-month,Fiber optic,No,No,Credit card,0,Yes,No,No,No
40,69.5,2651.66,Two year,Fiber optic,No,No,Bank transfer,1,Yes,No,Yes,No
27,84.07,2105.13,One year,DSL,Yes,Yes,Bank transfer,0,No,No,No,No
6,43.79,245.55,Two year,No,Yes,Yes,Credit card,0,Yes,No,No,No
71,63.72,4390.99,Two year,No,No,No,Bank transfer,0,No,Yes,Yes,No
11,90.47,953.83,Month-to-month,Fiber optic,No,No,Electronic check,0,No,No,No,Yes
33,118.18,3546.41,One year,No,No,No,Bank transfer,0,Yes,No,Yes,Yes
32,120.0,3829.7,Month-to-month,DSL,Yes,No,Mailed check,0,No,No,No,Yes
47,77.99,3317.06,One year,DSL,No,Yes,Mailed check,0,No,No,No,No
22,90.2,1802.42,Month-to-month,DSL,Yes,No,Mailed check,0,Yes,No,Yes,No
61,120.0,7101.41,Month-to-month,Fiber optic,Yes,No,Credit card,0,No,Yes,Yes,No
36,44.87,1568.16,Two year,DSL,No,No,Credit card,0,No,Yes,Yes,No
43,83.89,3253.37,Month-to-month,No,No,Yes,Credit card,0,Yes,No,No,Yes
34,88.05,2886.75,Two year,DSL,Yes,No,Credit card,0,Yes,No,No,No
64,108.44,6269.23,Month-to-month,DSL,Yes,No,Credit card,0,No,Yes,No,No
46,30.89,1415.37,Month-to-month,No,No,Yes,Electronic check,0,No,No,Yes,No
2,36.82,71.4,Two year,DSL,No,No,Credit card,0,No,No,No,Yes
0,65.64,0.0,One year,DSL,No,No,Bank transfer,1,No,Yes,No,Yes
4,76.33,279.62,One year,Fiber optic,Yes,Yes,Electronic check,0,Yes,No,Yes,No
13,98.69,1227.76,Month-to-month,DSL,No,No,Credit card,0,No,No,Yes,Yes
26,80.53,2017.05,Month-to-month,DSL,No,Yes,Bank transfer,0,Yes,No,Yes,Yes
8,60.46,475.52,One year,DSL,No,No,Electronic check,1,Yes,No,No,Yes
14,77.49,1074.37,One year,Fiber optic,Yes,No,Mailed check,0,Yes,No,Yes,No
41,74.03,2850.85,Month-to-month,No,No,No,Electronic check,1,No,No,No,Yes
50,117.35,5776.02,Two year,No,No,Yes,Credit card,1,Yes,No,No,No
62,69.97,4139.62,One year,DSL,Yes,No,Electronic check,0,Yes,No,Yes,No
51,53.51,2584.53,Two year,Fiber optic,No,No,Electronic check,0,Yes,Yes,Yes,No
3,78.49,228.38,One year,Fiber optic,No,Yes,Mailed check,0,Yes,No,Yes,No
22,70.95,1420.92,One year,No,No,No,Electronic check,0,No,Yes,Yes,No
14,18.0,233.49,Month-to-month,DSL,Yes,Yes,Electronic check,0,No,No,Yes,Yes
42,64.53,2660.6,Month-to-month,Fiber optic,Yes,No,Mailed check,0,No,No,No,Yes
28,61.98,1649.38,Two year,Fiber optic,Yes,No,Credit card,0,No,No,Yes,No
35,48.68,1688.13,Month-to-month,No,No,No,Bank transfer,0,No,Yes,No,Yes
12,96.07,1047.78,Month-to-month,DSL,Yes,No,Electronic check,0,No,Yes,Yes,No
31,41.43,1196.15,Month-to-month,DSL,No,No,Mailed check,0,No,No,Yes,Yes
70,78.67,5152.01,Month-to-month,DSL,No,Yes,Electronic check,0,Yes,No,No,No
58,60.56,3309.71,Two year,DSL,No,Yes,Credit card,0,Yes,No,Yes,No
27,68.23,1839.78,Two year,Fiber optic,Yes,Yes,Credit card,0,Yes,No,Yes,No
65,77.35,4681.17,Month-to-month,Fiber optic,No,No,Mailed check,0,Yes,No,No,No
41,25.77,1005.72,Month-to-month,Fiber optic,No,No,Bank transfer,0,Yes,Yes,No,No
44,70.75,2968.58,One year,DSL,Yes,No,Bank transfer,0,No,Yes,Yes,No
61,120.0,7152.22,One year,DSL,No,Yes,Electronic check,0,No,Yes,Yes,No
56,18.3,975.39,Two year,DSL,No,No,Mailed check,0,Yes,No,No,No
5,63.27,303.88,One year,DSL,No,No,Bank transfer,1,Yes,No,Yes,No
27,98.7,2599.16,Month-to-month,Fiber optic,No,No,Credit card,0,No,Yes,Yes,No
27,74.05,1819.63,Month-to-month,DSL,Yes,No,Bank transfer,0,Yes,Yes,No,Yes
43,85.64,3669.07,Two year,DSL,No,No,Mailed check,1,Yes,No,Yes,No
29,18.0,513.98,One year,Fiber optic,No,No,Credit card,0,No,No,Yes,No
61,82.95,4750.67,One year,Fiber optic,Yes,No,Electronic check,0,Yes,No,Yes,No
61,42.15,2501.32,Month-to-month,Fiber optic,No,No,Credit card,1,No,Yes,No,No
0,74.3,0.0,One year,No,Yes,Yes,Bank transfer,0,No,No,No,Yes
26,64.12,1642.15,One year,DSL,No,Yes,Bank transfer,0,No,No,Yes,No
61,120.0,6725.85,Month-to-month,Fiber optic,No,No,Bank transfer,0,Yes,No,Yes,Yes
2,81.4,157.98,Month-to-month,DSL,No,No,Electronic check,0,Yes,Yes,No,No
69,61.62,3840.78,Month-to-month,DSL,Yes,No,Bank transfer,1,Yes,No,Yes,No
71,19.71,1275.64,Month-to-month,No,No,No,Mailed check,0,Yes,No,Yes,No
26,68.63,1744.42,Month-to-month,DSL,Yes,No,Electronic check,0,Yes,No,Yes,Yes
8,89.7,704.18,Month-to-month,Fiber optic,No,No,Credit card,1,No,No,Yes,No
61,62.58,3661.8,One year,DSL,No,Yes,Bank transfer,1,No,No,Yes,No
36,49.83,1718.84,Month-to-month,Fiber optic,No,No,Mailed check,1,No,No,Yes,Yes
50,47.82,2331.11,Month-to-month,Fiber optic,Yes,No,Mailed check,0,Yes,No,Yes,No
43,81.05,3452.42,Two year,No,No,Yes,Electronic check,0,No,Yes,No,No
23,87.78,1902.07,One year,No,No,Yes,Mailed check,0,Yes,Yes,Yes,No
58,105.84,5595.33,One year,Fiber optic,No,No,Electronic check,0,Yes,Yes,No,No
31,35.15,1072.11,Month-to-month,DSL,No,Yes,Electronic check,0,No,No,Yes,No
51,80.78,3848.55,One year,Fiber optic,No,No,Electronic check,0,Yes,Yes,Yes,No
61,61.35,3418.18,Month-to-month,Fiber optic,No,No,Credit card,1,No,No,Yes,Yes
57,62.23,3410.41,Two year,DSL,No,Yes,Credit card,0,No,No,Yes,No
51,77.05,3763.76,Month-to-month,Fiber optic,Yes,Yes,Mailed check,0,Yes,Yes,No,No
11,77.23,804.87,One year,No,No,No,Credit card,0,No,No,No,No
38,80.86,3029.6,Month-to-month,Fiber optic,Yes,No,Electronic check,0,Yes,Yes,Yes,No
1,33.28,30.86,One year,DSL,No,No,Electronic check,0,No,No,No,Yes
2,42.51,76.63,Month-to-month,No,No,Yes,Credit card,0,Yes,No,Yes,Yes
55,109.58,5619.16,Month-to-month,DSL,No,No,Mailed check,1,Yes,No,No,Yes
58,58.38,3050.72,Month-to-month,DSL,Yes,No,Electronic check,0,Yes,Yes,No,No
1,74.18,70.79,One year,Fiber optic,No,No,Credit card,0,No,No,Yes,Yes
1,96.64,90.63,Two year,Fiber optic,Yes,No,Bank transfer,0,No,No,Yes,No
53,78.9,4103.9,Two year,Fiber optic,No,Yes,Mailed check,0,No,No,No,No
0,81.4,0.0,Month-to-month,DSL,Yes,No,Mailed check,0,No,No,Yes,Yes
18,91.84,1559.66,Month-to-month,DSL,No,Yes,Mailed check,0,No,No,No,Yes
1,18.0,16.59,Two year,DSL,Yes,No,Bank transfer,0,Yes,No,No,No
52,50.3,2464.53,Month-to-month,No,Yes,Yes,Electronic check,0,No,No,No,No
43,79.06,3277.64,One year,Fiber optic,Yes,No,Mailed check,0,Yes,Yes,Yes,No
31,106.63,3037.85,Two year,DSL,No,No,Credit card,1,Yes,No,Yes,No
69,66.98,4516.73,Two year,DSL,No,No,Mailed check,0,Yes,No,Yes,No
31,39.66,1147.16,Month-to-month,DSL,No,No,Credit card,0,Yes,No,Yes,No
67,40.46,2692.43,Month-to-month,Fiber optic,Yes,No,Mailed check,0,No,No,Yes,No
54,91.52,4700.84,Month-to-month,DSL,No,No,Credit card,0,Yes,Yes,No,No
55,58.47,3166.69,One year,Fiber optic,No,No,Credit card,0,No,No,Yes,No
16,64.78,996.67,Month-to-month,Fiber optic,No,Yes,Credit card,0,No,No,No,Yes
37,83.45,2950.13,Month-to-month,Fiber optic,No,Yes,Bank transfer,0,Yes,Yes,No,Yes
23,18.0,400.84,Month-to-month,Fiber optic,Yes,No,Bank transfer,0,No,No,No,No
68,120.0,8006.18,Month-to-month,Fiber optic,No,Yes,Bank transfer,1,No,No,Yes,No
69,43.07,2866.18,One year,DSL,No,No,Electronic check,1,Yes,Yes,Yes,No
10,72.26,707.95,One year,Fiber optic,Yes,Yes,Credit card,0,No,No,Yes,No
15,18.0,248.14,Month-to-month,Fiber optic,No,No,Electronic check,0,Yes,No,No,Yes
58,52.32,2815.32,Month-to-month,DSL,No,No,Bank transfer,0,Yes,Yes,No,Yes
69,102.34,6517.53,Two year,No,Yes,Yes,Credit card,0,Yes,No,Yes,No
2,18.0,35.27,Month-to-month,DSL,No,Yes,Electronic check,0,No,Yes,Yes,Yes
19,98.79,1705.48,One year,DSL,No,No,Bank transfer,1,Yes,No,Yes,No
58,56.79,3226.58,Two year,DSL,No,No,Electronic check,1,Yes,No,Yes,Yes
35,79.61,2616.12,Month-to-month,No,No,No,Electronic check,0,Yes,Yes,No,Yes
18,84.73,1384.75,One year,Fiber optic,No,No,Bank transfer,0,No,No,No,No
66,78.24,4866.62,Two year,Fiber optic,No,Yes,Credit card,0,No,No,No,No
18,39.05,653.73,Month-to-month,DSL,No,Yes,Mailed check,0,No,No,No,No
19,54.06,985.23,Month-to-month,Fiber optic,Yes,Yes,Mailed check,0,Yes,No,Yes,No
70,21.15,1402.41,Month-to-month,Fiber optic,No,No,Electronic check,0,Yes,No,Yes,Yes
51,79.75,3781.23,Month-to-month,No,No,No,Electronic check,1,No,No,No,Yes
32,116.06,3662.77,Two year,DSL,No,Yes,Electronic check,0,Yes,No,No,No
39,18.0,660.36,Two year,DSL,No,No,Credit card,0,Yes,No,Yes,No
38,42.15,1516.92,One year,DSL,No,No,Electronic check,0,Yes,Yes,Yes,No
0,59.55,0.0,Month-to-month,No,Yes,No,Electronic check,1,No,No,Yes,Yes
10,70.2,638.05,Month-to-month,Fiber optic,Yes,No,Electronic check,0,Yes,No,No,No
56,91.38,4805.07,One year,Fiber optic,Yes,No,Bank transfer,0,Yes,No,Yes,No
49,60.43,2784.25,Month-to-month,Fiber optic,No,No,Mailed check,0,No,No,No,No
22,55.52,1159.86,One year,No,No,No,Mailed check,1,No,No,Yes,No
30,98.09,2679.66,Month-to-month,No,No,No,Bank transfer,0,No,Yes,No,No
41,84.86,3167.05,One year,Fiber optic,No,No,Credit card,0,Yes,No,Yes,No
6,81.17,458.6,One year,DSL,No,No,Credit card,0,No,No,Yes,Yes
15,68.38,926.52,Month-to-month,DSL,No,No,Credit card,0,Yes,Yes,Yes,Yes
59,94.49,5159.57,Month-to-month,No,No,No,Bank transfer,1,No,No,Yes,Yes
1,45.31,41.69,Month-to-month,Fiber optic,No,No,Mailed check,0,No,No,No,Yes
0,41.22,0.0,Month-to-month,DSL,No,Yes,Mailed check,0,Yes,No,No,No
47,87.38,3700.76,One year,Fiber optic,No,No,Electronic check,1,Yes,Yes,Yes,Yes
11,18.0,191.58,One year,No,No,No,Mailed check,0,Yes,Yes,Yes,No
68,67.77,4541.81,One year,Fiber optic,No,No,Credit card,1,Yes,Yes,Yes,No
36,55.5,1939.41,Two year,Fiber optic,Yes,No,Credit card,0,Yes,No,No,No
31,22.83,694.85,Month-to-month,No,Yes,No,Electronic check,0,No,No,Yes,No
8,37.06,285.91,Month-to-month,Fiber optic,No,Yes,Electronic check,0,Yes,No,No,Yes
18,61.73,1056.4,Month-to-month,DSL,No,No,Mailed check,0,No,No,Yes,Yes
47,96.02,4160.49,One year,No,Yes,No,Electronic check,1,Yes,No,Yes,No
2,45.41,84.28,Month-to-month,No,Yes,No,Electronic check,1,Yes,No,Yes,No
19,101.4,1795.15,Two year,No,Yes,No,Bank transfer,0,Yes,Yes,Yes,No
23,66.9,1390.68,Month-to-month,Fiber optic,No,Yes,Mailed check,0,No,No,Yes,Yes
53,104.31,5480.38,Two year,DSL,Yes,No,Credit card,0,No,Yes,Yes,No
32,46.87,1484.89,Two year,No,Yes,Yes,Bank transfer,0,No,No,Yes,No
23,63.54,1331.03,Month-to-month,DSL,Yes,No,Credit card,1,Yes,Yes,No,Yes
71,76.05,5160.18,Month-to-month,No,Yes,Yes,Electronic check,0,Yes,Yes,Yes,No
35,59.61,1975.28,One year,No,No,No,Electronic check,1,No,No,Yes,No
37,93.59,3353.2,Month-to-month,Fiber optic,Yes,Yes,Credit card,1,No,No,No,No
24,18.0,414.85,Month-to-month,No,No,No,Bank transfer,0,No,Yes,No,No
17,120.0,1861.36,One year,Fiber optic,No,No,Bank transfer,1,Yes,No,Yes,Yes
65,90.73,5696.98,Month-to-month,DSL,No,Yes,Bank transfer,1,No,No,No,No
53,59.79,3044.93,One year,Fiber optic,Yes,No,Electronic check,1,Yes,No,No,No
34,48.43,1569.43,One year,DSL,Yes,Yes,Mailed check,0,Yes,No,No,No
60,39.01,2200.73,Month-to-month,Fiber optic,Yes,No,Electronic check,1,Yes,No,Yes,No
40,84.37,3359.59,Month-to-month,DSL,Yes,No,Credit card,0,No,No,No,No
32,94.85,2989.5,Month-to-month,Fiber optic,No,No,Bank transfer,0,No,Yes,Yes,Yes
67,60.12,3860.91,One year,No,Yes,No,Mailed check,0,Yes,Yes,Yes,Yes
32,98.21,2830.45,Month-to-month,No,Yes,No,Bank transfer,0,Yes,Yes,Yes,No
13,37.78,463.25,Two year,DSL,No,Yes,Electronic check,1,Yes,No,Yes,No
20,32.49,630.33,Month-to-month,Fiber optic,No,No,Mailed check,0,Yes,No,No,Yes
47,119.4,5116.44,Month-to-month,Fiber optic,Yes,Yes,Mailed check,0,Yes,No,Yes,No
19,82.73,1478.59,Month-to-month,No,Yes,No,Electronic check,0,Yes,Yes,Yes,Yes
7,106.91,687.88,Month-to-month,Fiber optic,Yes,No,Bank transfer,1,No,No,Yes,Yes
6,39.38,220.64,Month-to-month,Fiber optic,No,Yes,Bank transfer,1,Yes,No,Yes,No
66,37.29,2221.59,One year,No,No,Yes,Bank transfer,0,Yes,Yes,Yes,No
16,54.24,792.05,Month-to-month,Fiber optic,No,Yes,Electronic check,1,No,No,Yes,Yes
32,40.28,1218.68,Month-to-month,No,No,No,Credit card,0,Yes,No,Yes,No
47,86.16,4008.29,Month-to-month,No,No,No,Credit card,0,No,No,Yes,Yes
58,42.47,2337.78,One year,No,Yes,No,Bank transfer,0,Yes,Yes,Yes,No
21,29.85,592.57,One year,DSL,No,No,Mailed check,1,No,No,No,No
29,69.26,1965.87,Month-to-month,Fiber optic,No,Yes,Credit card,1,Yes,Yes,Yes,No
37,26.3,901.85,Two year,No,No,No,Bank transfer,0,No,No,Yes,No
50,18.0,818.56,Month-to-month,Fiber optic,No,No,Credit card,0,Yes,Yes,Yes,Yes
53,69.0,3367.94,One year,Fiber optic,No,No,Bank transfer,0,No,No,Yes,Yes
7,18.0,123.37,Month-to-month,DSL,No,No,Credit card,0,Yes,Yes,Yes,Yes
26,88.26,2220.65,Month-to-month,DSL,Yes,No,Credit card,0,No,Yes,No,No
26,23.14,546.98,Two year,Fiber optic,No,Yes,Mailed check,0,Yes,No,No,No
20,18.0,348.02,Month-to-month,Fiber optic,Yes,No,Mailed check,0,No,No,No,Yes
29,56.19,1618.36,One year,Fiber optic,No,No,Credit card,0,No,No,Yes,Yes
27,69.34,1693.38,Month-to-month,Fiber optic,Yes,No,Bank transfer,0,Yes,Yes,Yes,Yes
63,79.74,4830.92,One year,Fiber optic,No,No,Mailed check,0,Yes,No,Yes,Yes
68,70.16,4474.69,Two year,Fiber optic,No,No,Electronic check,0,Yes,No,No,No
60,33.22,1893.75,Month-to-month,Fiber optic,No,No,Mailed check,1,Yes,No,No,Yes
47,86.39,3868.76,Two year,Fiber optic,No,No,Credit card,0,Yes,No,Yes,No
18,93.8,1649.74,One year,Fiber optic,No,No,Credit card,0,No,No,Yes,Yes
3,28.83,82.66,One year,DSL,No,No,Electronic check,0,No,No,Yes,No
34,59.57,1942.96,Month-to-month,Fiber optic,Yes,Yes,Mailed check,0,No,No,Yes,No
63,56.77,3337.93,Two year,Fiber optic,No,Yes,Credit card,0,Yes,No,No,No
48,71.61,3136.84,Month-to-month,Fiber optic,Yes,No,Electronic check,1,No,Yes,Yes,Yes
16,58.85,911.73,Month-to-month,DSL,Yes,Yes,Electronic check,0,Yes,No,Yes,No
43,62.96,2436.68,Two year,Fiber optic,Yes,Yes,Bank transfer,0,Yes,No,No,No
29,84.25,2279.24,One year,DSL,No,No,Mailed check,0,No,No,Yes,Yes
45,31.58,1309.98,Month-to-month,No,No,Yes,Mailed check,1,Yes,No,Yes,No
5,87.12,408.96,Month-to-month,DSL,Yes,No,Mailed check,0,No,No,Yes,No
36,99.23,3326.25,Month-to-month,No,No,No,Credit card,1,Yes,No,Yes,No
23,114.02,2544.89,Month-to-month,Fiber optic,No,No,Electronic check,0,No,No,Yes,Yes
45,18.0,750.08,Month-to-month,Fiber optic,No,Yes,Bank transfer,0,No,No,Yes,No
52,59.51,2958.59,One year,DSL,No,Yes,Mailed check,0,Yes,No,No,No
59,18.0,1004.2,Month-to-month,DSL,Yes,No,Bank transfer,0,Yes,No,No,No
62,18.0,1093.8,One year,DSL,No,No,Bank transfer,0,Yes,No,Yes,No
31,69.32,2026.02,Two year,DSL,Yes,No,Electronic check,0,Yes,No,No,No
32,53.03,1673.86,Month-to-month,Fiber optic,No,Yes,Mailed check,0,No,No,Yes,Yes
66,74.0,4395.67,Month-to-month,DSL,No,No,Bank transfer,0,No,No,No,No
17,79.58,1299.4,Month-to-month,Fiber optic,No,Yes,Mailed check,0,Yes,No,Yes,No
24,102.44,2215.12,Month-to-month,DSL,Yes,No,Mailed check,0,No,Yes,Yes,No
53,66.62,3429.85,One year,No,Yes,No,Mailed check,1,Yes,Yes,Yes,No
57,120.0,6316.69,Month-to-month,Fiber optic,Yes,Yes,Bank transfer,0,No,No,Yes,No
66,74.19,4592.95,One year,DSL,No,No,Electronic check,0,Yes,No,No,No
45,120.0,5065.44,Month-to-month,Fiber optic,Yes,Yes,Electronic check,1,Yes,No,Yes,No
23,18.0,407.64,Month-to-month,DSL,No,No,Bank transfer,1,Yes,Yes,Yes,Yes
31,105.49,2976.56,Month-to-month,DSL,Yes,No,Credit card,0,Yes,No,Yes,No
46,59.58,2649.39,Month-to-month,Fiber optic,No,Yes,Mailed check,0,Yes,No,Yes,No
22,18.0,395.26,Month-to-month,Fiber optic,Yes,No,Mailed check,1,Yes,No,No,No
65,77.62,4552.06,Month-to-month,No,Yes,No,Electronic check,0,Yes,No,No,No
26,55.91,1448.7,Two year,Fiber optic,No,No,Bank transfer,0,Yes,Yes,Yes,Yes
1,82.4,74.31,One year,No,No,Yes,Bank transfer,0,Yes,No,Yes,No
16,95.33,1501.05,Month-to-month,No,No,No,Credit card,0,No,No,Yes,Yes
32,20.33,648.04,Month-to-month,No,Yes,Yes,Credit card,1,No,Yes,Yes,Yes
8,95.45,763.07,Month-to-month,Fiber optic,No,No,Electronic check,0,Yes,Yes,Yes,Yes
42,65.19,2589.89,Month-to-month,DSL,No,No,Credit card,0,Yes,No,Yes,No
47,105.59,4896.7,Month-to-month,DSL,Yes,Yes,Credit card,0,No,No,No,No
38,58.85,2040.03,Month-to-month,Fiber optic,No,Yes,Bank transfer,0,Yes,Yes,Yes,No
